,0
ATXN7,0.020202020202020204
GSS,0.020202020202020204
TRIM10,0.010101010101010102
LOC100506178,0.010101010101010102
HOXD1,0.010101010101010102
RASSF5,0.010101010101010102
THRSP,0.010101010101010102
MED17,0.010101010101010102
NUDT21,0.010101010101010102
CDYL,0.010101010101010102
NCR1,0.010101010101010102
SLC23A3,0.010101010101010102
AIFM1,0.010101010101010102
UVSSA,0.010101010101010102
PRB1,0.010101010101010102
RTN3,0.010101010101010102
LOC101929269,0.010101010101010102
MFSD14A,0.010101010101010102
LINC01845,0.010101010101010102
NKAP,0.010101010101010102
OR51A4,0.010101010101010102
VRK3,0.010101010101010102
CHTF8,0.010101010101010102
OR10H5,0.010101010101010102
MXRA5,0.010101010101010102
SLC7A6OS,0.010101010101010102
NDUFA8,0.010101010101010102
PPP2R5D,0.010101010101010102
MESDC2,0.010101010101010102
ANKRD65,0.010101010101010102
ALDH1A3,0.010101010101010102
AFG3L2,0.010101010101010102
DESI2,0.010101010101010102
PPIL1,0.010101010101010102
POLR3GL,0.010101010101010102
MRPL38,0.010101010101010102
LOC101929353,0.010101010101010102
AIF1,0.010101010101010102
TOPORS,0.010101010101010102
PTBP1,0.010101010101010102
HMCN2,0.010101010101010102
ATP6V0E1,0.010101010101010102
LINC02285,0.010101010101010102
PRMT6,0.010101010101010102
TCP11,0.010101010101010102
MIR4719,0.010101010101010102
VPS18,0.010101010101010102
TUBA1C,0.010101010101010102
PIK3CB,0.010101010101010102
LOC101927513,0.010101010101010102
NR3C1,0.010101010101010102
DPH7,0.010101010101010102
RANGAP1,0.010101010101010102
FAM92A1P2,0.010101010101010102
RAB11B,0.010101010101010102
TNFRSF10B,0.010101010101010102
LINC00271,0.010101010101010102
RITA1,0.010101010101010102
MIR3683,0.010101010101010102
ZYX,0.010101010101010102
P2RX5-TAX1BP3,0.010101010101010102
PDIA4,0.010101010101010102
TGFBR1,0.010101010101010102
RBP1,0.010101010101010102
TRIM39,0.010101010101010102
MXI1,0.010101010101010102
GLDC,0.010101010101010102
SNORD14A,0.010101010101010102
MIR4792,0.010101010101010102
MIR4422,0.010101010101010102
FAM86EP,0.010101010101010102
SMYD4,0.010101010101010102
FAM213B,0.010101010101010102
CYP21A2,0.010101010101010102
FEN1,0.010101010101010102
PDCD1,0.010101010101010102
PRADC1,0.010101010101010102
RGL1,0.010101010101010102
SNX17,0.010101010101010102
LOC101927402,0.010101010101010102
SNRPB2,0.010101010101010102
HSCB,0.010101010101010102
USP27X,0.010101010101010102
APBB2,0.010101010101010102
TCAF1,0.010101010101010102
RPA1,0.010101010101010102
NRXN1,0.010101010101010102
CD99,0.010101010101010102
TIMM10,0.010101010101010102
SLC39A9,0.010101010101010102
LRPPRC,0.010101010101010102
TIMM8B,0.010101010101010102
SVIP,0.010101010101010102
LINC00664,0.010101010101010102
LINC00658,0.010101010101010102
MLH1,0.010101010101010102
AMZ2,0.010101010101010102
