LPL,SEC63,ITSN1,CLEC7A,PLEKHA3,PFKFB2,HLA-DOA,JCHAIN,SKI,CBX1,RORB,SEL1L3,ALPK1,SDC2,SSBP3,BACE2,FGFR1,SPARCL1,PDK4,HES1,CIITA,YWHAG,MOSPD2,GNG10,IL21R,ATP6V1C1,BAG1,EMP1,OSBPL1A,MFAP4,TFRC,CEBPA,IGFBP5,AFF1,IL2RB,NPL,ATP2B4,P2RY14,KLHL6,TPPP3,TACC1,SCARA5,NUCKS1,CAPZA1,SCML4,PLIN1,FCHO2,SGMS2,PRMT5,PPM1A,SNX18,LYZ,IFIT3,CTSB,EFEMP1,STAG2,ASPH,CR1,ITGB2,RNF146,YBX3,RPL37A,DPY19L3,HBB,DIO2,HHEX,LCK,CALM2,SLA,QKI,TBC1D14,TCF7L2,SLAMF8,ALOX5,TPM1,SLC16A7,SNAP23,LATS2,PPT1,APMAP,CUTC,RAB32,PLEKHA5,AKAP12,PID1,KCNIP2,label
1228.0,1760.0,606.0,242.0,293.0,56.0,5.0,2.0,782.0,326.0,5.0,1074.0,209.0,319.0,362.0,1040.0,1018.0,1325.0,986.0,982.0,129.0,2066.0,308.0,311.0,7.0,754.0,294.0,536.0,85.0,373.0,8633.0,1122.0,3397.0,11942.0,114.0,275.0,1606.0,35.0,118.0,4716.0,1529.0,34.0,2046.0,1067.0,0.0,5.0,201.0,657.0,445.0,755.0,370.0,149.0,173.0,7451.0,4867.0,1113.0,653.0,124.0,230.0,437.0,1305.0,3217.0,473.0,1154.0,34.0,74.0,5.0,2052.0,34.0,1285.0,662.0,276.0,14.0,126.0,1026.0,61.0,1903.0,623.0,575.0,2522.0,74.0,23.0,578.0,922.0,400.0,44.0,0
5190.0,1863.0,511.0,66.0,210.0,162.0,3.0,1.0,767.0,350.0,4.0,502.0,241.0,330.0,262.0,1350.0,1009.0,732.0,1392.0,704.0,39.0,2089.0,363.0,265.0,19.0,932.0,294.0,306.0,68.0,362.0,10940.0,855.0,2725.0,12199.0,313.0,273.0,854.0,33.0,134.0,6195.0,1129.0,21.0,1154.0,1312.0,2.0,2.0,334.0,902.0,457.0,649.0,363.0,133.0,156.0,5632.0,3042.0,1159.0,291.0,74.0,416.0,471.0,940.0,3419.0,397.0,14006.0,7.0,49.0,10.0,1076.0,64.0,1837.0,638.0,278.0,43.0,179.0,686.0,31.0,2133.0,573.0,808.0,2127.0,117.0,29.0,671.0,974.0,686.0,50.0,0
1692.0,1469.0,773.0,92.0,160.0,75.0,0.0,0.0,538.0,355.0,3.0,1364.0,245.0,420.0,502.0,1220.0,1319.0,1640.0,1158.0,625.0,78.0,2010.0,322.0,295.0,28.0,859.0,254.0,533.0,67.0,413.0,8594.0,1048.0,3230.0,11119.0,163.0,351.0,1555.0,65.0,93.0,4666.0,1327.0,18.0,1420.0,1460.0,0.0,5.0,311.0,861.0,583.0,712.0,537.0,156.0,153.0,7586.0,5928.0,1229.0,586.0,164.0,416.0,479.0,1294.0,2022.0,449.0,5137.0,18.0,76.0,9.0,1313.0,79.0,2191.0,796.0,194.0,23.0,372.0,880.0,61.0,1839.0,924.0,899.0,2772.0,85.0,20.0,708.0,926.0,361.0,33.0,0
281.0,1734.0,695.0,105.0,147.0,50.0,0.0,2.0,956.0,292.0,7.0,1400.0,190.0,502.0,557.0,894.0,1445.0,1564.0,1571.0,491.0,121.0,1570.0,380.0,305.0,7.0,630.0,268.0,619.0,60.0,464.0,10286.0,889.0,4897.0,9839.0,392.0,370.0,1561.0,69.0,124.0,4403.0,1419.0,30.0,1488.0,1271.0,0.0,3.0,459.0,410.0,545.0,608.0,523.0,339.0,172.0,5291.0,4003.0,1039.0,642.0,119.0,459.0,517.0,1160.0,1876.0,223.0,7859.0,25.0,78.0,7.0,1410.0,66.0,1580.0,832.0,387.0,48.0,91.0,1267.0,46.0,1945.0,526.0,865.0,2625.0,80.0,25.0,713.0,1240.0,456.0,67.0,0
198.0,1606.0,878.0,119.0,181.0,51.0,0.0,0.0,619.0,388.0,6.0,1090.0,241.0,425.0,477.0,815.0,1230.0,1436.0,673.0,799.0,122.0,2060.0,388.0,267.0,15.0,733.0,232.0,339.0,83.0,297.0,8816.0,1449.0,3814.0,12090.0,241.0,262.0,1808.0,42.0,96.0,6647.0,1548.0,1.0,1414.0,1220.0,2.0,4.0,371.0,640.0,446.0,741.0,487.0,251.0,181.0,9745.0,4333.0,1002.0,555.0,149.0,355.0,444.0,1216.0,2204.0,441.0,4555.0,5.0,69.0,6.0,1562.0,71.0,1726.0,715.0,225.0,50.0,226.0,1118.0,72.0,1372.0,721.0,914.0,2490.0,92.0,17.0,675.0,1150.0,701.0,23.0,0
1403.0,1834.0,768.0,199.0,321.0,73.0,0.0,3.0,923.0,387.0,9.0,1539.0,243.0,411.0,518.0,976.0,1360.0,2114.0,2324.0,781.0,168.0,1586.0,417.0,285.0,12.0,693.0,216.0,711.0,69.0,534.0,5731.0,965.0,5731.0,9720.0,311.0,277.0,1755.0,84.0,121.0,4588.0,1726.0,37.0,1491.0,1186.0,4.0,1.0,338.0,555.0,519.0,625.0,478.0,270.0,192.0,4660.0,5599.0,1025.0,490.0,155.0,410.0,462.0,1302.0,1968.0,307.0,8984.0,73.0,39.0,6.0,1475.0,116.0,1464.0,691.0,425.0,39.0,141.0,1191.0,58.0,1518.0,559.0,775.0,2323.0,99.0,22.0,876.0,1184.0,463.0,62.0,0
850.0,1907.0,785.0,139.0,177.0,68.0,3.0,0.0,721.0,392.0,3.0,1398.0,392.0,524.0,446.0,1064.0,1611.0,2102.0,1616.0,719.0,97.0,1977.0,388.0,336.0,11.0,1033.0,315.0,665.0,57.0,186.0,9623.0,1314.0,4661.0,18540.0,234.0,334.0,2034.0,122.0,121.0,5747.0,2230.0,12.0,1719.0,1604.0,2.0,1.0,375.0,815.0,570.0,813.0,699.0,198.0,222.0,6646.0,5849.0,1833.0,645.0,145.0,291.0,633.0,1529.0,2825.0,561.0,3901.0,23.0,64.0,6.0,1914.0,84.0,2832.0,855.0,358.0,25.0,485.0,1460.0,86.0,2391.0,882.0,1033.0,3237.0,124.0,19.0,960.0,1314.0,513.0,39.0,0
227.0,1899.0,1016.0,152.0,255.0,74.0,3.0,2.0,759.0,442.0,4.0,860.0,299.0,535.0,450.0,1064.0,1544.0,1924.0,1443.0,850.0,69.0,2775.0,536.0,337.0,5.0,959.0,268.0,731.0,70.0,175.0,13768.0,1755.0,4022.0,27567.0,271.0,308.0,1707.0,56.0,136.0,7342.0,2659.0,8.0,1517.0,1777.0,2.0,7.0,577.0,880.0,676.0,876.0,555.0,205.0,158.0,8420.0,4168.0,1473.0,590.0,264.0,287.0,577.0,1284.0,3571.0,754.0,6370.0,23.0,59.0,7.0,1695.0,92.0,2123.0,970.0,282.0,31.0,432.0,1043.0,84.0,2972.0,1000.0,1111.0,1894.0,125.0,15.0,951.0,1712.0,1294.0,47.0,0
337.0,2436.0,630.0,103.0,193.0,32.0,13.0,1.0,634.0,411.0,15.0,935.0,286.0,160.0,294.0,1144.0,1354.0,872.0,1666.0,956.0,160.0,2115.0,385.0,306.0,6.0,911.0,281.0,250.0,47.0,216.0,16870.0,1143.0,1805.0,18130.0,631.0,182.0,1284.0,47.0,73.0,10619.0,1816.0,50.0,1447.0,1582.0,8.0,2.0,350.0,1287.0,472.0,871.0,269.0,502.0,141.0,7387.0,3703.0,1327.0,444.0,62.0,327.0,549.0,1200.0,3036.0,294.0,38501.0,108.0,54.0,9.0,1101.0,40.0,1756.0,672.0,206.0,24.0,155.0,1256.0,118.0,2462.0,573.0,773.0,2216.0,90.0,16.0,956.0,1191.0,659.0,34.0,0
2652.0,1894.0,469.0,126.0,144.0,49.0,0.0,11.0,594.0,389.0,3.0,1672.0,255.0,273.0,396.0,1210.0,1438.0,1434.0,1761.0,807.0,86.0,2412.0,438.0,325.0,4.0,1108.0,242.0,304.0,55.0,324.0,9918.0,2188.0,4020.0,16958.0,372.0,290.0,1445.0,61.0,96.0,6635.0,2829.0,5.0,1478.0,1799.0,3.0,3.0,495.0,1209.0,704.0,910.0,446.0,116.0,125.0,9748.0,5924.0,1459.0,512.0,128.0,187.0,619.0,1217.0,3040.0,337.0,3621.0,188.0,47.0,9.0,1256.0,60.0,2297.0,901.0,397.0,30.0,91.0,953.0,136.0,2937.0,808.0,1254.0,2425.0,99.0,7.0,1218.0,1353.0,562.0,31.0,0
