"",gene_symbol,GSM1820115,GSM1820116,GSM1820117,GSM1820118,GSM1820119,GSM1820120,GSM1820121,GSM1820122,GSM1820123,GSM1820124,GSM1820125,GSM1820126,GSM1820127,GSM1820128,GSM1820129
ENSG00000275125,FAM213B,635.9855,230.786,232.8911,172.412,318.4764,734.4103,288.852,387.1612,693.7511,566.2044,453.5338,570.9819,330.6572,638.5677,299.1678
ENSG00000275126,HIST1H4L,4.0754,1.4822,2.3605,0,3.0037,0,3.994,0,3.994,2.2559,1.0013,0,0,1.0013,3.2145
ENSG00000275127,SNORD116-22,0,0,0,0,9.0846,0,0,0,0,0,0.6261,0,0,0,0
ENSG00000275136,FCAR,16.6348,18.4663,3.2333,6.5272,12.7717,6.4676,0,9.5251,8.8507,3.6684,5.4882,17.728,6.8794,9.7461,3.6492
ENSG00000275141,MIR6888,0.9918,0,0,1.0073,0,0,0.9918,1.0072,1.9836,0,0,0,0,2.0145,0
ENSG00000275143,SCARNA16,0,5.5724,1.9428,2.849,5.2661,0,1.9189,0.8096,10.6298,0,0.5483,2.2706,1.8822,0,2.5823
ENSG00000275145,FRG1,362.4856,150.0578,109.7006,109.716,270.7773,395.5224,194.5136,390.7539,534.3717,275.4495,437.2901,314.7734,394.0776,378.6554,173.5061
ENSG00000275152,CCL16,20.2042,5.7472,11.3995,21.3933,12.3718,0,8.1299,8.0035,37.9668,8.9099,7.566,15.1506,5.555,4.3147,17.049
ENSG00000275153,TBC1D3K,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.6818
ENSG00000275156,NCR1,7.6117,2.9883,8.6858,7.1243,3.5595,15.3591,7.1064,9.1485,4.4726,0,1.9148,14.3703,16.5239,43.1087,33.6909
ENSG00000275163,KCNMB2,2.3048,2.595,0,0,2.3749,0.7327,0,0,2.1498,4.0958,7.1009,0,0,0,3.526
ENSG00000275165,TSEN34,5.0154,7.7994,4.2418,7.238,15.5635,0.7429,10.9903,5.3945,28.4999,6.2696,8.7442,4.7707,6.1817,0,10.7815
ENSG00000275166,MIR6814,13.8836,12.8917,4.9584,6.0444,72.5287,7.0509,1.9833,42.3091,9.9166,7.9333,28.2062,29.2137,35.2578,106.0856,2.975
ENSG00000275167,MIR6815,0,0,0,1.0069,0,0,0,1.0069,1.9843,0,0,0,0,0,2.9765
ENSG00000275172,KIR3DL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275176,ACACA,1086.5443,590.2206,290.9358,329.8032,686.894,158.1139,519.2347,669.2221,1917.6978,471.5714,258.7186,547.1716,387.0034,540.1986,284.1015
ENSG00000275181,GPR20,20.9186,11.9457,2.6101,3.7432,3.6828,1.2189,4.6372,2.8662,14.5391,13.6111,0.5009,2.7819,2.0131,3.0409,2.5049
ENSG00000275183,LENG9,33.6607,0.0106,0,75.2876,28.4166,41.2101,24.0584,80.414,210.1544,96.627,8.967,47.6876,48.3502,52.4974,51.955
ENSG00000275190,UGT2B10,34.7268,32.8866,12.1728,11.2462,11.6974,5.5166,9.1888,4.4732,23.2447,4.7264,3.1481,9.3803,2.1229,3.8026,7.1304
ENSG00000275196,KIR2DL1,7.5599,4.8222,3.1485,3.3021,7.3512,0.534,7.049,15.5143,8.7536,11.2382,1.5706,27.1332,15.735,0,0
ENSG00000275199,AKT3,99.1228,44.5385,171.47,149.1601,37.1117,212.388,48.6013,1829.8897,532.4363,343.7678,776.9881,151.9981,2138.1039,625.5933,814.8731
ENSG00000275207,MIR6740,1.9864,1.0336,1.9864,0,2.012,0.815,1.9863,0,1.9863,0,0,2.012,0,2.012,0
ENSG00000275208,MIR6745,10.6712,7.476,6.9597,4.0204,4.0202,1.005,2.9827,6.0304,8.9549,10.869,6.0304,4.0203,4.0202,5.714,2.9826
ENSG00000275211,CYP2D6,307.4089,41.5792,163.9288,120.4948,142.9965,8.3222,49.8018,259.9915,372.0578,187.9503,228.1787,159.1678,102.6428,340.3417,140.0514
ENSG00000275214,IFI27,156.3375,79.9459,50.26,41.9183,80.2611,15.3686,58.8148,30.7281,104.4519,57.3238,27.0347,23.9625,21.0541,35.7312,29.8208
