Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9347826086956522,0.9458994708994709,0.9353535353535353,0.9374163879598661,0.9717857500842577
SVM,0.967391304347826,0.9764895330112721,0.9666666666666668,0.9696814296814298,0.9754053937636027
KNN,0.9565217391304348,0.9624163879598662,0.9575757575757576,0.9592156862745098,0.985322524501629
Random Forest,0.9565217391304348,0.9624163879598662,0.9575757575757576,0.9592156862745098,0.9970090870090871
Gradient Boosting,0.9565217391304348,0.9624163879598662,0.9575757575757576,0.9592156862745098,0.9914535314535314
XGBoost,0.9456521739130435,0.953974358974359,0.9464646464646463,0.9483840967216925,0.997999297999298
LightGBM,0.9565217391304348,0.9624163879598662,0.9575757575757576,0.9592156862745098,0.9982995982995984
