Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7717391304347826,0.7640522875816994,0.7816738816738817,0.7652441077441077,0.929730245183863
SVM,0.8043478260869565,0.8105882352941176,0.815007215007215,0.8025703625703626,0.9768923079718469
KNN,0.8695652173913043,0.8857509157509158,0.8675324675324676,0.8622242188279925,0.9756184614412463
Random Forest,0.9130434782608695,0.9241758241758242,0.9151515151515153,0.9140979689366786,0.989485130940827
Gradient Boosting,0.9239130434782609,0.9333333333333332,0.9262626262626263,0.9236689871556034,0.984306895446136
XGBoost,0.9021739130434783,0.9098901098901099,0.8997668997668997,0.8992831541218639,0.9793883369832738
LightGBM,0.9021739130434783,0.909948717948718,0.906060606060606,0.9022551230512794,0.980374516197301
