Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7717391304347826,0.7713680414694613,0.7751470751470751,0.7691086691086692,0.9370120669172246
SVM,0.8478260869565217,0.8555588115588115,0.8408036408036409,0.8429902210959177,0.9584596507381317
KNN,0.8695652173913043,0.8741548821548821,0.8727272727272727,0.8638620367160353,0.9793073460162068
Random Forest,0.9130434782608695,0.9271794871794871,0.9151515151515153,0.9123809523809523,0.9864941547220027
Gradient Boosting,0.9021739130434783,0.9098901098901099,0.8997668997668997,0.9012820512820513,0.9887222216336141
XGBoost,0.8913043478260869,0.9029100529100529,0.8886557886557886,0.8877097505668935,0.979790037384974
LightGBM,0.9021739130434783,0.909948717948718,0.906060606060606,0.9022551230512794,0.980374516197301
